Entity,Code,Date,total_vaccinations_per_hundred
Maryland,,2021-01-24,5.6
Maryland,,2021-01-25,5.8
Maryland,,2021-01-26,6.05
Maryland,,2021-01-27,6.44
Maryland,,2021-01-28,6.82
Maryland,,2021-01-29,7.32
Maryland,,2021-01-30,7.87
Maryland,,2021-01-31,8.36
Maryland,,2021-02-01,8.74
Maryland,,2021-02-02,8.88
Maryland,,2021-02-03,9.04
Maryland,,2021-02-04,9.36
Maryland,,2021-02-05,9.84
Maryland,,2021-02-06,10.37
Maryland,,2021-02-07,11
Maryland,,2021-02-08,11.3
Maryland,,2021-02-09,11.46
Maryland,,2021-02-10,11.93
Maryland,,2021-02-11,12.33
Maryland,,2021-02-12,12.88
Maryland,,2021-02-13,13.44
Maryland,,2021-02-14,14.08
Maryland,,2021-02-16,14.69
Maryland,,2021-02-17,14.94
Maryland,,2021-02-18,15.39
Maryland,,2021-02-19,16.73
Maryland,,2021-02-20,17.44
Maryland,,2021-02-21,17.99
Maryland,,2021-02-22,18.39
Maryland,,2021-02-23,18.73
Maryland,,2021-02-24,19.19
Maryland,,2021-02-25,19.84
Maryland,,2021-02-26,20.51
Maryland,,2021-02-27,21.18
Maryland,,2021-02-28,21.93
Maryland,,2021-03-01,22.56
Maryland,,2021-03-02,23
Maryland,,2021-03-03,24.06
Maryland,,2021-03-04,24.77
Maryland,,2021-03-05,25.61
Maryland,,2021-03-06,26.57
Massachusetts,,2021-01-12,2.96
Massachusetts,,2021-01-13,3.16
Massachusetts,,2021-01-14,3.39
Massachusetts,,2021-01-15,3.73
Massachusetts,,2021-01-19,4.63
Massachusetts,,2021-01-20,4.8
Massachusetts,,2021-01-21,5.12
Massachusetts,,2021-01-22,5.38
Massachusetts,,2021-01-23,5.7
Massachusetts,,2021-01-24,6.09
Massachusetts,,2021-01-25,6.29
Massachusetts,,2021-01-26,6.42
Massachusetts,,2021-01-27,6.74
Massachusetts,,2021-01-28,7.11
Massachusetts,,2021-01-29,7.55
Massachusetts,,2021-01-30,7.94
Massachusetts,,2021-01-31,8.4
Massachusetts,,2021-02-01,8.83
Massachusetts,,2021-02-02,9.07
Massachusetts,,2021-02-03,9.07
Massachusetts,,2021-02-04,9.47
Massachusetts,,2021-02-05,9.94
Massachusetts,,2021-02-06,10.55
Massachusetts,,2021-02-07,11.32
Massachusetts,,2021-02-08,11.7
Massachusetts,,2021-02-09,12.08
Massachusetts,,2021-02-10,12.82
Massachusetts,,2021-02-11,13.42
Massachusetts,,2021-02-12,13.97
Massachusetts,,2021-02-13,14.65
Massachusetts,,2021-02-14,15.75
Massachusetts,,2021-02-16,16.64
Massachusetts,,2021-02-17,16.98
Massachusetts,,2021-02-18,17.62
Massachusetts,,2021-02-19,19.1
Massachusetts,,2021-02-20,19.96
Massachusetts,,2021-02-21,20.7
Massachusetts,,2021-02-22,21.31
Massachusetts,,2021-02-23,21.76
Massachusetts,,2021-02-24,22.25
Massachusetts,,2021-02-25,22.88
Massachusetts,,2021-02-26,23.58
Massachusetts,,2021-02-27,24.44
Massachusetts,,2021-02-28,25.19
Massachusetts,,2021-03-01,26.17
Massachusetts,,2021-03-02,26.66
Massachusetts,,2021-03-03,27.34
Massachusetts,,2021-03-04,28.16
Massachusetts,,2021-03-05,29.1
Massachusetts,,2021-03-06,30.21
Michigan,,2021-01-12,2.28
Michigan,,2021-01-13,2.92
Michigan,,2021-01-14,3.28
Michigan,,2021-01-15,3.65
Michigan,,2021-01-19,4.84
Michigan,,2021-01-20,5.09
Michigan,,2021-01-21,5.5
Michigan,,2021-01-22,5.96
Michigan,,2021-01-23,6.54
Michigan,,2021-01-24,6.96
Michigan,,2021-01-25,7.28
Michigan,,2021-01-26,7.43
Michigan,,2021-01-27,7.73
Michigan,,2021-01-28,8.15
Michigan,,2021-01-29,8.68
Michigan,,2021-01-30,9.24
Michigan,,2021-01-31,9.78
Michigan,,2021-02-01,10.07
Michigan,,2021-02-02,10.17
Michigan,,2021-02-03,10.44
Michigan,,2021-02-04,10.8
Michigan,,2021-02-05,11.36
Michigan,,2021-02-06,11.95
Michigan,,2021-02-07,12.54
Michigan,,2021-02-08,12.84
Michigan,,2021-02-09,13.12
Michigan,,2021-02-10,13.61
Michigan,,2021-02-11,14.14
Michigan,,2021-02-12,14.68
Michigan,,2021-02-13,15.4
Michigan,,2021-02-14,16.07
Michigan,,2021-02-16,16.59
Michigan,,2021-02-17,16.83
Michigan,,2021-02-18,17.21
Michigan,,2021-02-19,18.36
Michigan,,2021-02-20,18.87
Michigan,,2021-02-21,19.36
Michigan,,2021-02-22,19.75
Michigan,,2021-02-23,19.88
Michigan,,2021-02-24,20.47
Michigan,,2021-02-25,21.06
Michigan,,2021-02-26,21.69
Michigan,,2021-02-27,22.49
Michigan,,2021-02-28,23.22
Michigan,,2021-03-01,23.6
Michigan,,2021-03-02,23.93
Michigan,,2021-03-03,24.27
Michigan,,2021-03-04,24.8
Michigan,,2021-03-05,25.58
Michigan,,2021-03-06,26.41
Minnesota,,2021-01-12,2.88
Minnesota,,2021-01-13,2.93
Minnesota,,2021-01-14,3.19
Minnesota,,2021-01-15,3.52
Minnesota,,2021-01-19,4.46
Minnesota,,2021-01-20,4.48
Minnesota,,2021-01-21,4.6
Minnesota,,2021-01-22,4.93
Minnesota,,2021-01-23,5.41
Minnesota,,2021-01-24,5.7
Minnesota,,2021-01-25,6.15
Minnesota,,2021-01-26,6.39
Minnesota,,2021-01-27,6.66
Minnesota,,2021-01-28,7.16
Minnesota,,2021-01-29,7.81
Minnesota,,2021-01-30,8.62
Minnesota,,2021-01-31,9.2
Minnesota,,2021-02-01,9.69
Minnesota,,2021-02-02,9.8
Minnesota,,2021-02-03,9.8
Minnesota,,2021-02-04,11.25
Minnesota,,2021-02-05,11.25
Minnesota,,2021-02-06,12.47
Minnesota,,2021-02-07,12.93
Minnesota,,2021-02-08,13.22
Minnesota,,2021-02-09,13.22
Minnesota,,2021-02-10,13.22
Minnesota,,2021-02-11,13.37
Minnesota,,2021-02-12,13.96
Minnesota,,2021-02-13,14.74
Minnesota,,2021-02-14,15.44
Minnesota,,2021-02-16,16.12
Minnesota,,2021-02-17,16.4
Minnesota,,2021-02-18,16.97
Minnesota,,2021-02-19,18.65
Minnesota,,2021-02-20,19.46
Minnesota,,2021-02-21,20.16
Minnesota,,2021-02-22,20.18
Minnesota,,2021-02-23,20.75
Minnesota,,2021-02-24,21.08
Minnesota,,2021-02-25,21.61
Minnesota,,2021-02-26,22.37
Minnesota,,2021-02-27,23.45
Minnesota,,2021-02-28,24.72
Minnesota,,2021-03-01,25.35
Minnesota,,2021-03-02,25.6
Minnesota,,2021-03-03,26.2
Minnesota,,2021-03-04,26.83
Minnesota,,2021-03-05,27.71
Minnesota,,2021-03-06,28.87
Mississippi,,2021-01-12,1.83
Mississippi,,2021-01-13,2.06
Mississippi,,2021-01-14,2.41
Mississippi,,2021-01-15,2.83
Mississippi,,2021-01-19,3.82
Mississippi,,2021-01-20,4.12
Mississippi,,2021-01-21,4.59
Mississippi,,2021-01-22,5.06
Mississippi,,2021-01-23,5.06
Mississippi,,2021-01-24,5.97
Mississippi,,2021-01-25,6.08
Mississippi,,2021-01-26,6.12
Mississippi,,2021-01-27,6.39
Mississippi,,2021-01-28,6.76
Mississippi,,2021-01-29,7.15
Mississippi,,2021-01-30,7.48
Mississippi,,2021-01-31,7.94
Mississippi,,2021-02-01,8.03
Mississippi,,2021-02-02,8.07
Mississippi,,2021-02-03,8.43
Mississippi,,2021-02-04,8.43
Mississippi,,2021-02-05,9.27
Mississippi,,2021-02-06,10.1
Mississippi,,2021-02-07,10.79
Mississippi,,2021-02-08,11
Mississippi,,2021-02-09,11.06
Mississippi,,2021-02-10,11.61
Mississippi,,2021-02-11,12.28
Mississippi,,2021-02-12,12.98
Mississippi,,2021-02-13,13.7
Mississippi,,2021-02-14,14.35
Mississippi,,2021-02-16,14.73
Mississippi,,2021-02-17,14.73
Mississippi,,2021-02-18,14.73
Mississippi,,2021-02-19,15.94
Mississippi,,2021-02-20,16.18
Mississippi,,2021-02-21,16.5
Mississippi,,2021-02-22,16.77
Mississippi,,2021-02-23,16.99
Mississippi,,2021-02-24,17.66
Mississippi,,2021-02-25,17.67
Mississippi,,2021-02-26,19.06
Mississippi,,2021-02-27,19.94
Mississippi,,2021-02-28,20.81
Mississippi,,2021-03-01,21.41
Mississippi,,2021-03-02,21.72
Mississippi,,2021-03-03,22.37
Mississippi,,2021-03-04,23.04
Mississippi,,2021-03-05,23.88
Mississippi,,2021-03-06,24.76
Missouri,,2021-01-12,2.64
Missouri,,2021-01-13,2.64
Missouri,,2021-01-14,2.86
Missouri,,2021-01-15,3.1
Missouri,,2021-01-19,3.85
Missouri,,2021-01-20,3.98
Missouri,,2021-01-21,4.32
Missouri,,2021-01-22,4.66
Missouri,,2021-01-23,4.75
Missouri,,2021-01-24,5.18
Missouri,,2021-01-25,5.47
Missouri,,2021-01-26,5.54
Missouri,,2021-01-27,5.84
Missouri,,2021-01-28,6.23
Missouri,,2021-01-29,6.65
Missouri,,2021-01-30,6.65
Missouri,,2021-01-31,7.24
Missouri,,2021-02-01,7.53
Missouri,,2021-02-02,7.6
Missouri,,2021-02-03,7.86
Missouri,,2021-02-04,8.23
Missouri,,2021-02-05,8.74
Missouri,,2021-02-06,9.52
Missouri,,2021-02-07,10.19
Missouri,,2021-02-08,10.48
Missouri,,2021-02-09,10.54
Missouri,,2021-02-10,10.91
Missouri,,2021-02-11,11.32
Missouri,,2021-02-12,11.69
Missouri,,2021-02-13,13.15
Missouri,,2021-02-14,13.82
Missouri,,2021-02-16,14.32
Missouri,,2021-02-17,14.53
Missouri,,2021-02-18,14.92
Missouri,,2021-02-19,16.53
Missouri,,2021-02-20,16.99
Missouri,,2021-02-21,17.66
Missouri,,2021-02-22,17.99
Missouri,,2021-02-23,18.1
Missouri,,2021-02-24,18.53
Missouri,,2021-02-25,19.03
Missouri,,2021-02-26,19.77
Missouri,,2021-02-27,20.82
Missouri,,2021-02-28,20.85
Missouri,,2021-03-01,22.4
Missouri,,2021-03-02,22.55
Missouri,,2021-03-03,23.07
Missouri,,2021-03-04,23.76
Missouri,,2021-03-05,24.51
Missouri,,2021-03-06,25.29
Montana,,2021-01-12,3.94
Montana,,2021-01-13,4.12
Montana,,2021-01-14,4.36
Montana,,2021-01-15,4.62
Montana,,2021-01-19,5.23
Montana,,2021-01-20,5.35
Montana,,2021-01-21,5.65
Montana,,2021-01-22,6.21
Montana,,2021-01-23,6.79
Montana,,2021-01-24,7.17
Montana,,2021-01-25,7.24
Montana,,2021-01-26,7.27
Montana,,2021-01-27,7.6
Montana,,2021-01-28,8.07
Montana,,2021-01-29,8.66
Montana,,2021-01-30,9.29
Montana,,2021-01-31,9.78
Montana,,2021-02-01,9.93
Montana,,2021-02-02,10.04
Montana,,2021-02-03,10.33
Montana,,2021-02-04,10.87
Montana,,2021-02-05,11.46
Montana,,2021-02-06,12.25
Montana,,2021-02-07,12.89
Montana,,2021-02-08,13.03
Montana,,2021-02-09,13.11
Montana,,2021-02-10,13.5
Montana,,2021-02-11,13.97
Montana,,2021-02-12,14.76
Montana,,2021-02-13,15.66
Montana,,2021-02-14,16.54
Montana,,2021-02-16,17
Montana,,2021-02-17,17.27
Montana,,2021-02-18,17.78
Montana,,2021-02-19,20.7
Montana,,2021-02-20,21.42
Montana,,2021-02-21,22.18
Montana,,2021-02-22,22.53
Montana,,2021-02-23,22.74
Montana,,2021-02-24,23.08
Montana,,2021-02-25,23.61
Montana,,2021-02-26,24.42
Montana,,2021-02-27,25.36
Montana,,2021-02-28,26.33
Montana,,2021-03-01,26.64
Montana,,2021-03-02,26.78
Montana,,2021-03-03,27.28
Montana,,2021-03-04,28.16
Montana,,2021-03-05,29.22
Montana,,2021-03-06,30.33
Nebraska,,2021-01-12,3.85
Nebraska,,2021-01-13,4.12
Nebraska,,2021-01-14,4.39
Nebraska,,2021-01-15,4.71
Nebraska,,2021-01-19,5.36
Nebraska,,2021-01-20,5.49
Nebraska,,2021-01-21,5.78
Nebraska,,2021-01-22,6.12
Nebraska,,2021-01-23,6.41
Nebraska,,2021-01-24,6.87
Nebraska,,2021-01-25,6.93
Nebraska,,2021-01-26,6.99
Nebraska,,2021-01-27,7.22
Nebraska,,2021-01-28,7.75
Nebraska,,2021-01-29,8.19
Nebraska,,2021-01-30,8.65
Nebraska,,2021-01-31,9.19
Nebraska,,2021-02-01,9.35
Nebraska,,2021-02-02,9.43
Nebraska,,2021-02-03,9.73
Nebraska,,2021-02-04,10.09
Nebraska,,2021-02-05,10.55
Nebraska,,2021-02-06,11.29
Nebraska,,2021-02-07,11.94
Nebraska,,2021-02-08,12.1
Nebraska,,2021-02-09,12.16
Nebraska,,2021-02-10,12.46
Nebraska,,2021-02-11,12.81
Nebraska,,2021-02-12,13.44
Nebraska,,2021-02-13,14.16
Nebraska,,2021-02-14,14.77
Nebraska,,2021-02-16,15.02
Nebraska,,2021-02-17,15.24
Nebraska,,2021-02-18,15.77
Nebraska,,2021-02-19,17.98
Nebraska,,2021-02-20,18.64
Nebraska,,2021-02-21,19.26
Nebraska,,2021-02-22,19.68
Nebraska,,2021-02-23,20.3
Nebraska,,2021-02-24,20.98
Nebraska,,2021-02-25,21.84
Nebraska,,2021-02-26,22.86
Nebraska,,2021-02-27,22.95
Nebraska,,2021-02-28,24.53
Nebraska,,2021-03-01,24.62
Nebraska,,2021-03-02,25.07
Nebraska,,2021-03-03,25.7
Nebraska,,2021-03-04,26.54
Nebraska,,2021-03-05,27.67
Nebraska,,2021-03-06,27.72
Nevada,,2021-01-12,2
Nevada,,2021-01-13,2
Nevada,,2021-01-14,2.5
Nevada,,2021-01-15,2.72
Nevada,,2021-01-19,3.34
Nevada,,2021-01-20,3.48
Nevada,,2021-01-21,3.77
Nevada,,2021-01-22,4.11
Nevada,,2021-01-23,4.45
Nevada,,2021-01-24,4.94
Nevada,,2021-01-25,5.19
Nevada,,2021-01-26,5.34
Nevada,,2021-01-27,5.66
Nevada,,2021-01-28,6.33
Nevada,,2021-01-29,6.82
Nevada,,2021-01-30,7.28
Nevada,,2021-01-31,7.83
Nevada,,2021-02-01,8.08
Nevada,,2021-02-02,8.22
Nevada,,2021-02-03,9.07
Nevada,,2021-02-04,9.47
Nevada,,2021-02-05,9.88
Nevada,,2021-02-06,10.46
Nevada,,2021-02-07,10.85
Nevada,,2021-02-08,11.26
Nevada,,2021-02-09,11.41
Nevada,,2021-02-10,11.89
Nevada,,2021-02-11,12.31
Nevada,,2021-02-12,12.8
Nevada,,2021-02-13,13.34
Nevada,,2021-02-14,13.91
Nevada,,2021-02-16,14.51
Nevada,,2021-02-17,14.71
Nevada,,2021-02-18,15.16
Nevada,,2021-02-19,16.96
Nevada,,2021-02-20,18.04
Nevada,,2021-02-21,18.5
Nevada,,2021-02-22,19.04
Nevada,,2021-02-23,19.43
Nevada,,2021-02-24,19.7
Nevada,,2021-02-25,20.2
Nevada,,2021-02-26,20.86
Nevada,,2021-02-27,21.61
Nevada,,2021-02-28,22.26
Nevada,,2021-03-01,23.22
Nevada,,2021-03-02,23.48
Nevada,,2021-03-03,23.83
Nevada,,2021-03-04,24.36
Nevada,,2021-03-05,25.1
Nevada,,2021-03-06,25.97
New Hampshire,,2021-01-12,3.72
New Hampshire,,2021-01-13,4.06
New Hampshire,,2021-01-14,4.32
New Hampshire,,2021-01-15,4.6
New Hampshire,,2021-01-19,5.26
New Hampshire,,2021-01-20,5.55
New Hampshire,,2021-01-21,5.93
New Hampshire,,2021-01-22,6.3
New Hampshire,,2021-01-23,6.61
New Hampshire,,2021-01-24,6.86
New Hampshire,,2021-01-25,6.96
New Hampshire,,2021-01-26,7.13
New Hampshire,,2021-01-27,7.58
New Hampshire,,2021-01-28,8.12
New Hampshire,,2021-01-29,8.64
New Hampshire,,2021-01-30,9.1
New Hampshire,,2021-01-31,9.44
New Hampshire,,2021-02-01,9.6
New Hampshire,,2021-02-02,9.99
New Hampshire,,2021-02-03,10.17
New Hampshire,,2021-02-04,10.67
New Hampshire,,2021-02-05,11.26
New Hampshire,,2021-02-06,11.85
New Hampshire,,2021-02-07,12.2
New Hampshire,,2021-02-08,12.25
New Hampshire,,2021-02-09,12.41
New Hampshire,,2021-02-10,12.96
New Hampshire,,2021-02-11,13.54
New Hampshire,,2021-02-12,14.06
New Hampshire,,2021-02-13,14.76
New Hampshire,,2021-02-14,15.34
New Hampshire,,2021-02-16,15.93
New Hampshire,,2021-02-17,16.06
New Hampshire,,2021-02-18,16.68
New Hampshire,,2021-02-19,17.75
New Hampshire,,2021-02-20,18.41
New Hampshire,,2021-02-21,19.18
New Hampshire,,2021-02-22,19.7
New Hampshire,,2021-02-23,20.17
New Hampshire,,2021-02-24,20.76
New Hampshire,,2021-02-25,21.42
New Hampshire,,2021-02-26,22.05
New Hampshire,,2021-02-27,22.86
New Hampshire,,2021-02-28,23.65
New Hampshire,,2021-03-01,23.89
New Hampshire,,2021-03-02,24.31
New Hampshire,,2021-03-03,24.97
New Hampshire,,2021-03-04,25.73
New Hampshire,,2021-03-05,26.37
New Hampshire,,2021-03-06,27.29
New Jersey,,2021-01-12,2.49
New Jersey,,2021-01-13,2.96
New Jersey,,2021-01-14,2.97
New Jersey,,2021-01-15,3.57
New Jersey,,2021-01-19,4.5
New Jersey,,2021-01-20,4.87
New Jersey,,2021-01-21,4.87
New Jersey,,2021-01-22,5.23
New Jersey,,2021-01-23,5.64
New Jersey,,2021-01-24,6.03
New Jersey,,2021-01-25,6.34
New Jersey,,2021-01-26,6.48
New Jersey,,2021-01-27,6.89
New Jersey,,2021-01-28,7.3
New Jersey,,2021-01-29,8.19
New Jersey,,2021-01-30,8.66
New Jersey,,2021-01-31,8.96
New Jersey,,2021-02-01,9.12
New Jersey,,2021-02-02,9.42
New Jersey,,2021-02-03,9.59
New Jersey,,2021-02-04,9.59
New Jersey,,2021-02-05,9.96
New Jersey,,2021-02-06,11.72
New Jersey,,2021-02-07,12.1
New Jersey,,2021-02-08,12.33
New Jersey,,2021-02-09,12.35
New Jersey,,2021-02-10,12.93
New Jersey,,2021-02-11,13.47
New Jersey,,2021-02-12,14.1
New Jersey,,2021-02-13,14.74
New Jersey,,2021-02-14,15.19
New Jersey,,2021-02-16,16.07
New Jersey,,2021-02-17,16.67
New Jersey,,2021-02-18,17.36
New Jersey,,2021-02-19,18.06
New Jersey,,2021-02-20,18.56
New Jersey,,2021-02-21,19.02
New Jersey,,2021-02-22,19.27
New Jersey,,2021-02-23,19.8
New Jersey,,2021-02-24,20.31
New Jersey,,2021-02-25,21.01
New Jersey,,2021-02-26,21.88
New Jersey,,2021-02-27,22.61
New Jersey,,2021-02-28,23.26
New Jersey,,2021-03-01,23.6
New Jersey,,2021-03-02,24.63
New Jersey,,2021-03-03,25.33
New Jersey,,2021-03-04,26.18
New Jersey,,2021-03-05,27.06
New Jersey,,2021-03-06,27.91
New Mexico,,2021-01-12,3.73
New Mexico,,2021-01-13,3.9
New Mexico,,2021-01-14,4.26
New Mexico,,2021-01-15,4.74
New Mexico,,2021-01-19,6.59
New Mexico,,2021-01-20,6.83
New Mexico,,2021-01-21,7.27
New Mexico,,2021-01-22,7.73
New Mexico,,2021-01-23,8.81
New Mexico,,2021-01-24,9.54
New Mexico,,2021-01-25,9.76
New Mexico,,2021-01-26,10.02
New Mexico,,2021-01-27,10.35
New Mexico,,2021-01-28,10.72
New Mexico,,2021-01-29,11.39
New Mexico,,2021-01-30,11.84
New Mexico,,2021-01-31,12.6
New Mexico,,2021-02-01,13.13
New Mexico,,2021-02-02,13.24
New Mexico,,2021-02-03,13.58
New Mexico,,2021-02-04,14.05
New Mexico,,2021-02-05,14.64
New Mexico,,2021-02-06,15.39
New Mexico,,2021-02-07,15.82
New Mexico,,2021-02-08,16.35
New Mexico,,2021-02-09,16.5
New Mexico,,2021-02-10,16.91
New Mexico,,2021-02-11,17.64
New Mexico,,2021-02-12,18.54
New Mexico,,2021-02-13,19.07
New Mexico,,2021-02-14,20.03
New Mexico,,2021-02-16,21.14
New Mexico,,2021-02-17,21.34
New Mexico,,2021-02-18,21.75
New Mexico,,2021-02-19,26.83
New Mexico,,2021-02-20,27.61
New Mexico,,2021-02-21,28.42
New Mexico,,2021-02-22,28.84
New Mexico,,2021-02-23,29.21
New Mexico,,2021-02-24,29.5
New Mexico,,2021-02-25,30.28
New Mexico,,2021-02-26,31.34
New Mexico,,2021-02-27,32.34
New Mexico,,2021-02-28,33.65
New Mexico,,2021-03-01,33.94
New Mexico,,2021-03-02,34.41
New Mexico,,2021-03-03,35.1
New Mexico,,2021-03-04,35.48
New Mexico,,2021-03-05,36.53
New Mexico,,2021-03-06,38.21
New York State,,2021-01-12,2.98
New York State,,2021-01-13,3.25
New York State,,2021-01-14,3.54
New York State,,2021-01-15,3.89
New York State,,2021-01-19,5.14
New York State,,2021-01-20,5.38
New York State,,2021-01-21,5.74
New York State,,2021-01-22,6.19
New York State,,2021-01-23,6.59
New York State,,2021-01-24,7.02
New York State,,2021-01-25,7.29
New York State,,2021-01-26,7.47
New York State,,2021-01-27,7.81
New York State,,2021-01-28,8.38
New York State,,2021-01-29,8.76
New York State,,2021-01-30,9.21
New York State,,2021-01-31,9.64
New York State,,2021-02-01,9.91
New York State,,2021-02-02,10.11
New York State,,2021-02-03,10.3
New York State,,2021-02-04,10.59
New York State,,2021-02-05,10.96
New York State,,2021-02-06,11.44
New York State,,2021-02-07,12.01
New York State,,2021-02-08,12.43
New York State,,2021-02-09,12.55
New York State,,2021-02-10,13.04
New York State,,2021-02-11,13.47
New York State,,2021-02-12,13.94
New York State,,2021-02-13,14.5
New York State,,2021-02-14,15.04
New York State,,2021-02-16,15.99
New York State,,2021-02-17,16.34
New York State,,2021-02-18,16.73
New York State,,2021-02-19,17.72
New York State,,2021-02-20,18.18
New York State,,2021-02-21,18.62
New York State,,2021-02-22,19.08
New York State,,2021-02-23,19.39
New York State,,2021-02-24,19.64
New York State,,2021-02-25,19.94
New York State,,2021-02-26,20.33
New York State,,2021-02-27,20.87
New York State,,2021-02-28,21.72
New York State,,2021-03-01,22.39
New York State,,2021-03-02,23.11
New York State,,2021-03-03,23.68
New York State,,2021-03-04,24.32
New York State,,2021-03-05,25.01
New York State,,2021-03-06,25.92
North Carolina,,2021-01-12,2.02
North Carolina,,2021-01-13,2.54
North Carolina,,2021-01-14,2.56
North Carolina,,2021-01-15,2.89
North Carolina,,2021-01-19,3.82
North Carolina,,2021-01-20,4.08
North Carolina,,2021-01-21,4.51
North Carolina,,2021-01-22,5
North Carolina,,2021-01-23,5.5
North Carolina,,2021-01-24,6.07
North Carolina,,2021-01-25,6.45
North Carolina,,2021-01-26,6.67
North Carolina,,2021-01-27,6.83
North Carolina,,2021-01-28,8.1
North Carolina,,2021-01-29,8.12
North Carolina,,2021-01-30,8.57
North Carolina,,2021-01-31,9.07
North Carolina,,2021-02-01,9.3
North Carolina,,2021-02-02,9.31
North Carolina,,2021-02-03,9.79
North Carolina,,2021-02-04,10.14
North Carolina,,2021-02-05,10.58
North Carolina,,2021-02-06,11.17
North Carolina,,2021-02-07,11.85
North Carolina,,2021-02-08,12.15
North Carolina,,2021-02-09,12.28
North Carolina,,2021-02-10,12.74
North Carolina,,2021-02-11,13.18
North Carolina,,2021-02-12,13.8
North Carolina,,2021-02-13,14.52
North Carolina,,2021-02-14,15.42
North Carolina,,2021-02-16,16.06
North Carolina,,2021-02-17,16.54
North Carolina,,2021-02-18,16.99
North Carolina,,2021-02-19,18.68
North Carolina,,2021-02-20,19.15
North Carolina,,2021-02-21,19.72
North Carolina,,2021-02-22,20.07
North Carolina,,2021-02-23,20.2
North Carolina,,2021-02-24,20.64
North Carolina,,2021-02-25,21.08
North Carolina,,2021-02-26,21.78
North Carolina,,2021-02-27,22.56
North Carolina,,2021-02-28,23.53
North Carolina,,2021-03-01,24.08
North Carolina,,2021-03-02,24.27
North Carolina,,2021-03-03,24.86
North Carolina,,2021-03-04,25.38
North Carolina,,2021-03-05,25.56
North Carolina,,2021-03-06,26.32
North Dakota,,2021-01-12,5.18
North Dakota,,2021-01-13,5.34
North Dakota,,2021-01-14,5.61
North Dakota,,2021-01-15,6.09
North Dakota,,2021-01-19,7.43
North Dakota,,2021-01-20,7.57
North Dakota,,2021-01-21,7.77
North Dakota,,2021-01-22,8.41
North Dakota,,2021-01-23,9.05
North Dakota,,2021-01-24,9.6
North Dakota,,2021-01-25,9.87
North Dakota,,2021-01-26,9.9
North Dakota,,2021-01-27,10.13
North Dakota,,2021-01-28,10.5
North Dakota,,2021-01-29,11.31
North Dakota,,2021-01-30,12.02
North Dakota,,2021-01-31,12.85
North Dakota,,2021-02-01,13.05
North Dakota,,2021-02-02,13.12
North Dakota,,2021-02-03,13.59
North Dakota,,2021-02-04,14.03
North Dakota,,2021-02-05,14.8
North Dakota,,2021-02-06,15.84
North Dakota,,2021-02-07,16.64
North Dakota,,2021-02-08,17.03
North Dakota,,2021-02-09,17.03
North Dakota,,2021-02-10,17.06
North Dakota,,2021-02-11,17.53
North Dakota,,2021-02-12,18.29
North Dakota,,2021-02-13,18.92
North Dakota,,2021-02-14,19.54
North Dakota,,2021-02-16,20.13
North Dakota,,2021-02-17,20.22
North Dakota,,2021-02-18,20.57
North Dakota,,2021-02-19,23.92
North Dakota,,2021-02-20,24.74
North Dakota,,2021-02-21,25.51
North Dakota,,2021-02-22,25.77
North Dakota,,2021-02-23,25.8
North Dakota,,2021-02-24,26.22
North Dakota,,2021-02-25,26.76
North Dakota,,2021-02-26,27.9
North Dakota,,2021-02-27,29.57
North Dakota,,2021-02-28,30.73
North Dakota,,2021-03-01,31.31
North Dakota,,2021-03-02,31.34
North Dakota,,2021-03-03,31.65
North Dakota,,2021-03-04,32.32
North Dakota,,2021-03-05,33.5
North Dakota,,2021-03-06,34.66
Northern Mariana Islands,MNP,2021-01-12,6.54
Northern Mariana Islands,MNP,2021-01-13,7.28
Northern Mariana Islands,MNP,2021-01-14,8.08
Northern Mariana Islands,MNP,2021-01-15,8.63
Northern Mariana Islands,MNP,2021-01-19,11.2
Northern Mariana Islands,MNP,2021-01-20,11.94
Northern Mariana Islands,MNP,2021-01-21,12.85
Northern Mariana Islands,MNP,2021-01-22,13.57
Northern Mariana Islands,MNP,2021-01-23,14.13
Northern Mariana Islands,MNP,2021-01-24,14.75
Northern Mariana Islands,MNP,2021-01-25,14.93
Northern Mariana Islands,MNP,2021-01-26,15.36
Northern Mariana Islands,MNP,2021-01-27,15.87
Northern Mariana Islands,MNP,2021-01-28,16.26
Northern Mariana Islands,MNP,2021-01-29,16.79
Northern Mariana Islands,MNP,2021-01-30,17.11
Northern Mariana Islands,MNP,2021-01-31,17.67
Northern Mariana Islands,MNP,2021-02-01,17.84
Northern Mariana Islands,MNP,2021-02-02,18.3
Northern Mariana Islands,MNP,2021-02-03,18.73
Northern Mariana Islands,MNP,2021-02-04,19.28
Northern Mariana Islands,MNP,2021-02-05,19.92
Northern Mariana Islands,MNP,2021-02-06,20.56
Northern Mariana Islands,MNP,2021-02-07,20.9
Northern Mariana Islands,MNP,2021-02-08,20.95
Northern Mariana Islands,MNP,2021-02-09,21.56
Northern Mariana Islands,MNP,2021-02-10,22.03
Northern Mariana Islands,MNP,2021-02-11,22.38
Northern Mariana Islands,MNP,2021-02-12,22.8
Northern Mariana Islands,MNP,2021-02-13,23.55
Northern Mariana Islands,MNP,2021-02-14,24.18
Northern Mariana Islands,MNP,2021-02-16,25.35
Northern Mariana Islands,MNP,2021-02-17,25.92
Northern Mariana Islands,MNP,2021-02-18,26.57
Northern Mariana Islands,MNP,2021-02-19,27.29
Northern Mariana Islands,MNP,2021-02-20,27.29
